series_id,n_events,n_regions,start_year,end_year,max_magnitude,mean_eta,event_ids
S121,23,4,1928.0,2012.0,8.0,0.00014880300585100935,"['iscgem908552', 'iscgem908604', 'iscgem908744', 'iscgem908754', 'iscgem908823', 'iscgem908920', 'iscgem908944', 'iscgem906564', 'iscgem906572', 'usp0000xp7', 'usp0000y47', 'usp0000yks', 'usp0000zbw', 'usp0001gnv', 'usp0002jwe', 'usp0002jyp', 'usp0002tcb', 'usp0006pwk', 'usp0007vrx', 'usp00082pq', 'usp0009f7v', 'usp0009y65', 'usp000jhpj']"
S052,14,5,1910.0,1918.0,7.9,0.0001504822414255678,"['iscgem16958127', 'iscgemsup16958136', 'iscgem16958206', 'iscgemsup16958207', 'iscgem914043', 'iscgemsup914045', 'iscgem914051', 'iscgem914056', 'iscgem914058', 'iscgem914014', 'iscgemsup914021', 'iscgem914023', 'iscgem913702', 'iscgem913232']"
S049,43,5,1910.0,2024.0,8.23,0.0001511215205951712,"['iscgem16958079', 'iscgem16958104', 'iscgemsup16958103', 'iscgem16958115', 'iscgemsup16958121', 'iscgem16958135', 'iscgem16958225', 'iscgem914026', 'iscgem914028', 'iscgemsup913879', 'iscgem913884', 'iscgem913558', 'iscgem913020', 'iscgem912519', 'iscgem912525', 'iscgem912642', 'iscgem912187', 'iscgem912199', 'iscgem911999', 'iscgem912041', 'iscgem912049', 'iscgem911428', 'iscgem911039', 'iscgem910450', 'iscgem910104', 'iscgem908274', 'iscgem907553', 'iscgem905527', 'iscgem902664', 'iscgem900480', 'iscgem889944', 'iscgem889946', 'iscgem885987', 'iscgem887394', 'iscgem876378', 'iscgem871818', 'iscgem849160', 'iscgem830608', 'usp0003009', 'usp0003y09', 'usp0004j34', 'us7000m9g4', 'us7000ma2w']"
S446,5,1,2010.0,2017.0,7.8,0.0001519906378257931,"['usp000hb6a', 'usp000hej3', 'usp000j0eh', 'us20007z80', 'us10007u7n']"
S085,7,1,1918.0,1922.0,8.1,0.00015230185574627907,"['iscgem913260', 'iscgem913281', 'iscgem913336', 'iscgem912640', 'iscgem911880', 'iscgem911887', 'iscgem912134']"
S422,4,2,2004.0,2007.0,6.9,0.00015275228813152746,"['usp000d600', 'usp000d81v', 'usp000d855', 'usp000ftdp']"
S015,15,1,1904.0,1933.0,8.4,0.0001536102218985486,"['iscgem16957819', 'iscgemsup16957821', 'iscgemsup16957822', 'iscgem911980', 'iscgem911270', 'official19230203160150_30', 'iscgem911273', 'iscgem911283', 'iscgem911296', 'iscgem911331', 'iscgem911376', 'iscgem911169', 'iscgem910653', 'iscgem16960058', 'iscgem905473']"
S248,5,1,1962.0,2002.0,7.18,0.00015525976566703378,"['iscgem874353', 'iscgem17292186', 'iscgem17292199', 'iscgem875357', 'usp000b923']"
S099,8,1,1922.0,1995.0,8.5,0.00015586185738045087,"['iscgem912057', 'official19221111043251_30', 'iscgem912083', 'iscgem911356', 'iscgem910820', 'iscgem909624', 'iscgem901902', 'usp000762s']"
S437,15,4,2007.0,2022.0,8.4,0.00015669345403475422,"['usp000fj6k', 'official20070912111026830_34', 'usp000fpca', 'usp000fpg6', 'usp000fr6r', 'usp000frnh', 'usp000ft98', 'usp000h3vc', 'usp000h8s3', 'usp000hcbx', 'usp000hnj4', 'usc000gw27', 'us100068jg', 'us6000bgvl', 'us7000iqpn']"
S092,14,2,1920.0,1950.0,8.09,0.00015714434954420078,"['iscgem912618', 'iscgem910423', 'iscgem910752', 'iscgem909067', 'iscgem908955', 'iscgem904042', 'iscgem902508', 'iscgem902550', 'iscgem901890', 'iscgem902119', 'iscgem895436', 'iscgem895533', 'iscgem896121', 'iscgem896185']"
