series_id,n_events,n_regions,start_year,end_year,max_magnitude,mean_eta,event_ids
S013,15,2,1975.0,2014.0,7.9,0.00015668472440030833,"['usp0000c24', 'usp0000hdc', 'usp0000kcn', 'usp0000px4', 'usp0006b9h', 'usp0006bdm', 'usp0007gqq', 'usp0007gvt', 'usp0007rdr', 'usb000kemb', 'usc000pft9', 'usc000phx5', 'usb000q66s', 'usb000q98a', 'usc000rqgz']"
S191,15,4,2007.0,2022.0,8.4,0.00015669345403475422,"['usp000fj6k', 'official20070912111026830_34', 'usp000fpca', 'usp000fpg6', 'usp000fr6r', 'usp000frnh', 'usp000ft98', 'usp000h3vc', 'usp000h8s3', 'usp000hcbx', 'usp000hnj4', 'usc000gw27', 'us100068jg', 'us6000bgvl', 'us7000iqpn']"
S133,14,3,1995.0,2014.0,7.9,0.0001602363910786573,"['usp0006w5n', 'usp0007zea', 'usp000bgz7', 'usp000bsvs', 'usp000bzyd', 'usp000c01m', 'usp000cd1n', 'usp000cdb4', 'usp000ceks', 'usp000cxkw', 'usp000dszm', 'usp000ekaq', 'usp000en5e', 'usc000rki5']"
S071,19,4,1986.0,2015.0,8.0,0.0001656471560838469,"['usp0002tmu', 'usp0002tvn', 'usp0002u3x', 'usp0002v5r', 'usp0002v6r', 'usp0002y12', 'usp00031dt', 'usp00032u7', 'usp00034ry', 'usp00034sx', 'usp0003536', 'usp000agn9', 'usp000fhn5', 'usp000fjsq', 'usp000fuse', 'usp000g41s', 'usp000g59v', 'usb000jdt7', 'us200030aq']"
S095,25,4,1989.0,2017.0,7.9,0.00016767725381787115,"['usp00042ug', 'usp00042wq', 'usp000433j', 'usp00043s3', 'usp000456h', 'usp000482z', 'usp00049qg', 'usp0004ag6', 'usp0004bxs', 'usp0004c36', 'usp0004g51', 'usp0004n2a', 'usp0004ru5', 'usp0004rxb', 'usp0004smx', 'usp0004t6g', 'usp0004tse', 'usp0004v3k', 'usp0004z3m', 'usp0005bvx', 'usp0007jw8', 'usp0008baj', 'usp0009y2g', 'usc000ttkd', 'us1000aw8q']"
S014,21,2,1975.0,2019.0,7.7,0.00017138657308748991,"['usp0000d2p', 'usp00018r3', 'usp000194t', 'usp0001db4', 'usp0001jqv', 'usp0001nvd', 'usp0001r8k', 'usp00080wt', 'usp000814h', 'usp0008rm2', 'usp0008rpa', 'usp0008sd0', 'usp00092cr', 'usp0009xp4', 'usp000b6cd', 'usp000cs2y', 'usp000h2g9', 'usp000h3wn', 'usp000h8pu', 'usp000hd84', 'us2000j468']"
S149,11,2,1998.0,2026.0,7.7,0.0001757744856884181,"['usp0008yx2', 'usp0008z7q', 'usp0009sbh', 'usp0009z9y', 'usp000aa8b', 'usp000abqh', 'usp000f34b', 'usp000f57a', 'usp000fh3s', 'usp000ggu7', 'us6000slss']"
S062,15,2,1984.0,2024.0,7.6,0.00017580202752161497,"['usp00028mq', 'usp000297p', 'usp0002drr', 'usp0002v4y', 'usp0002vw0', 'usp0002x57', 'usp00032ej', 'usp0003rqq', 'usp0003xjb', 'usp000jqrz', 'usp000jr83', 'usc000sxh8', 'usb000t20t', 'us60006bjl', 'us7000myfa']"
S221,3,1,2015.0,2018.0,7.6,0.000176764658598661,"['us100040ww', 'us100041f1', 'us1000ggj4']"
S220,3,1,2015.0,2015.0,6.8,0.00017892867436485518,"['us20002whh', 'us100030pg', 'us10003zcp']"
S132,4,1,1995.0,1996.0,7.1,0.00018031185722573856,"['usp0006vxw', 'usp0006vz4', 'usp0006ww5', 'usp0007jkw']"
S082,7,1,1987.0,2025.0,7.4,0.00018236717627972138,"['usp00034x3', 'usp00034xs', 'usp00035k6', 'usp00039qx', 'usp00057gu', 'usp0005sm4', 'us6000rfwz']"
S153,11,1,1999.0,2024.0,7.5,0.00018547488464199261,"['usp0009dg4', 'usp0009j4n', 'usp0009kej', 'usp000a18v', 'usp000a7cv', 'usp000avpw', 'usp000hhuc', 'usp000hrw0', 'usp000ht15', 'usp000j1a8', 'us7000nzf3']"
S200,6,2,2010.0,2017.0,7.8,0.0001861565517850249,"['usp000hb6a', 'usp000hej3', 'usp000j0eh', 'us20007z80', 'us10007pj6', 'us10007u7n']"
S159,4,1,2000.0,2001.0,7.9,0.00018715577727265145,"['usp0009txv', 'usp0009ut0', 'usp000a7t0', 'usp000a9kc']"
S224,9,2,2017.0,2026.0,7.8,0.00018782165584322775,"['us10007s9c', 'us20008ixa', 'us10008ls4', 'us6000lp12', 'us7000lff4', 'us6000m2jp', 'us6000nhqc', 'us7000srb1', 'us7000st95']"
S027,5,2,1978.0,1978.0,7.5,0.0001881594164016979,"['usp0000th2', 'usp0000tjh', 'usp0000tm0', 'usp0000tn6', 'usp0000xsq']"
S226,8,2,2017.0,2020.0,8.2,0.0001918059141844296,"['us20009mbt', 'us20009p1a', 'us2000ahv0', 'us2000ar20', 'us2000bmhe', 'us1000c2zy', 'us2000d3km', 'us6000ah9t']"
S172,9,2,2003.0,2016.0,8.16,0.00019285794911829175,"['official20030925195006360_27', 'usp000c8sz', 'usp000c90r', 'usp000cbpa', 'usp000d9h1', 'usp000ggu8', 'usp000jg7e', 'usc000f03a', 'us10004ebx']"
S040,10,1,1981.0,2017.0,7.7,0.0002008421518601996,"['usp0001fkx', 'usp00023n2', 'usp000251s', 'usp000286c', 'usp00028ms', 'usp00043wc', 'usp0005swx', 'usp0006vb3', 'usp0007n46', 'us2000bibm']"
